Wall time,Step,Value,Value,Value,Value
,,,,,-19.69000053
,,,,,-19.67000008
,,,,,-19.65999985
,,,,,-19.67000008
,,,,,-19.69000053
,,,,,-19.69000053
,,,,,-19.69000053
,,,,,-19.69000053
,,,,,-19.69000053
,,,,,-19.69000053
,,,,,-19.69000053
,,,,,-19.69000053
,,,,,-19.69000053
,,,,,-19.69000053
,,,,,-19.69000053
,,,,,-19.70999908
,,,,,-19.70000076
,,,,,-19.70000076
,,,,,-19.70000076
,,,,,-19.70000076
,,,,,-19.70000076
,,,,,-19.69000053
,,,,,-19.70999908
,,,,,-19.70999908
,,,,,-19.72999954
,,,,,-19.73999977
,,,,,-19.75
,,,,,-19.76000023
,,,,,-19.76000023
,,,,,-19.75
,,,,,-19.77000046
,,,,,-19.76000023
,,,,,-19.77000046
,,,,,-19.77000046
,,,,,-19.75
,,,,,-19.76000023
,,,,,-19.75
,,,,,-19.73999977
,,,,,-19.70999908
,,,,,-19.70999908
